Freq,Real,Imag,|Z|/Ohm,Phase(Z)/deg,Re(Y)/Ohm-1,Im(Y)/Ohm-1,|Y|/Ohm-1,Phase(Y)/deg
7.00E+06,5.52E+01,-6.63E+00,5.56E+01,6.85E+00,1.79E-02,-2.14E-03,1.80E-02,-6.85E+00
6.23E+06,5.60E+01,-6.43E+00,5.63E+01,6.55E+00,1.76E-02,-2.02E-03,1.77E-02,-6.55E+00
5.55E+06,5.65E+01,-5.59E+00,5.68E+01,5.65E+00,1.75E-02,-1.73E-03,1.76E-02,-5.65E+00
4.94E+06,5.69E+01,-4.90E+00,5.71E+01,4.92E+00,1.74E-02,-1.50E-03,1.75E-02,-4.92E+00
4.40E+06,5.72E+01,-4.08E+00,5.74E+01,4.07E+00,1.74E-02,-1.24E-03,1.74E-02,-4.07E+00
3.92E+06,5.76E+01,-3.44E+00,5.77E+01,3.42E+00,1.73E-02,-1.04E-03,1.73E-02,-3.42E+00
3.49E+06,5.78E+01,-2.81E+00,5.79E+01,2.79E+00,1.73E-02,-8.40E-04,1.73E-02,-2.79E+00
3.11E+06,5.81E+01,-2.21E+00,5.81E+01,2.18E+00,1.72E-02,-6.55E-04,1.72E-02,-2.18E+00
2.77E+06,5.83E+01,-1.69E+00,5.83E+01,1.66E+00,1.71E-02,-4.96E-04,1.71E-02,-1.66E+00
2.47E+06,5.84E+01,-1.31E+00,5.85E+01,1.28E+00,1.71E-02,-3.82E-04,1.71E-02,-1.28E+00
2.20E+06,5.86E+01,-8.31E-01,5.86E+01,8.12E-01,1.71E-02,-2.42E-04,1.71E-02,-8.12E-01
1.96E+06,5.88E+01,-4.37E-01,5.88E+01,4.26E-01,1.70E-02,-1.26E-04,1.70E-02,-4.26E-01
1.74E+06,5.90E+01,-7.94E-02,5.90E+01,7.71E-02,1.70E-02,-2.28E-05,1.70E-02,-7.71E-02
1.55E+06,5.92E+01,2.86E-01,5.92E+01,-2.77E-01,1.69E-02,8.18E-05,1.69E-02,2.77E-01
1.38E+06,5.94E+01,5.83E-01,5.94E+01,-5.63E-01,1.68E-02,1.65E-04,1.68E-02,5.63E-01
1.23E+06,5.96E+01,8.96E-01,5.96E+01,-8.62E-01,1.68E-02,2.52E-04,1.68E-02,8.62E-01
1.10E+06,5.98E+01,1.13E+00,5.98E+01,-1.09E+00,1.67E-02,3.17E-04,1.67E-02,1.09E+00
9.76E+05,6.00E+01,1.44E+00,6.00E+01,-1.38E+00,1.67E-02,4.01E-04,1.67E-02,1.38E+00
8.69E+05,6.02E+01,1.65E+00,6.02E+01,-1.57E+00,1.66E-02,4.55E-04,1.66E-02,1.57E+00
7.74E+05,6.05E+01,1.87E+00,6.05E+01,-1.77E+00,1.65E-02,5.11E-04,1.65E-02,1.77E+00
6.89E+05,6.07E+01,2.08E+00,6.07E+01,-1.96E+00,1.65E-02,5.63E-04,1.65E-02,1.96E+00
6.14E+05,6.09E+01,2.28E+00,6.10E+01,-2.14E+00,1.64E-02,6.13E-04,1.64E-02,2.14E+00
5.47E+05,6.12E+01,2.38E+00,6.12E+01,-2.22E+00,1.63E-02,6.33E-04,1.63E-02,2.22E+00
4.87E+05,6.15E+01,2.54E+00,6.15E+01,-2.36E+00,1.62E-02,6.70E-04,1.62E-02,2.36E+00
4.34E+05,6.17E+01,2.67E+00,6.18E+01,-2.48E+00,1.62E-02,6.99E-04,1.62E-02,2.48E+00
3.86E+05,6.20E+01,2.79E+00,6.21E+01,-2.58E+00,1.61E-02,7.25E-04,1.61E-02,2.58E+00
3.44E+05,6.23E+01,2.83E+00,6.23E+01,-2.61E+00,1.60E-02,7.30E-04,1.60E-02,2.61E+00
3.06E+05,6.26E+01,2.93E+00,6.26E+01,-2.68E+00,1.59E-02,7.47E-04,1.60E-02,2.68E+00
2.73E+05,6.28E+01,2.89E+00,6.29E+01,-2.64E+00,1.59E-02,7.32E-04,1.59E-02,2.64E+00
2.43E+05,6.30E+01,3.05E+00,6.31E+01,-2.77E+00,1.58E-02,7.66E-04,1.58E-02,2.77E+00
2.16E+05,6.33E+01,3.03E+00,6.34E+01,-2.74E+00,1.58E-02,7.55E-04,1.58E-02,2.74E+00
1.93E+05,6.36E+01,3.10E+00,6.37E+01,-2.79E+00,1.57E-02,7.65E-04,1.57E-02,2.79E+00
1.72E+05,6.38E+01,3.16E+00,6.39E+01,-2.84E+00,1.56E-02,7.74E-04,1.57E-02,2.84E+00
1.53E+05,6.41E+01,3.12E+00,6.41E+01,-2.79E+00,1.56E-02,7.60E-04,1.56E-02,2.79E+00
1.36E+05,6.43E+01,3.22E+00,6.44E+01,-2.87E+00,1.55E-02,7.77E-04,1.55E-02,2.87E+00
1.21E+05,6.45E+01,3.23E+00,6.46E+01,-2.87E+00,1.55E-02,7.74E-04,1.55E-02,2.87E+00
1.08E+05,6.47E+01,3.28E+00,6.48E+01,-2.90E+00,1.54E-02,7.79E-04,1.54E-02,2.90E+00
9.61E+04,6.50E+01,3.28E+00,6.51E+01,-2.89E+00,1.53E-02,7.74E-04,1.54E-02,2.89E+00
8.56E+04,6.52E+01,3.37E+00,6.53E+01,-2.96E+00,1.53E-02,7.90E-04,1.53E-02,2.96E+00
7.62E+04,6.54E+01,3.38E+00,6.55E+01,-2.95E+00,1.52E-02,7.86E-04,1.53E-02,2.95E+00
6.79E+04,6.57E+01,3.53E+00,6.58E+01,-3.07E+00,1.52E-02,8.16E-04,1.52E-02,3.07E+00
6.05E+04,6.59E+01,3.52E+00,6.60E+01,-3.06E+00,1.51E-02,8.08E-04,1.52E-02,3.06E+00
5.39E+04,6.62E+01,3.67E+00,6.63E+01,-3.17E+00,1.51E-02,8.34E-04,1.51E-02,3.17E+00
4.80E+04,6.64E+01,3.73E+00,6.65E+01,-3.22E+00,1.50E-02,8.44E-04,1.50E-02,3.22E+00
4.27E+04,6.66E+01,3.80E+00,6.67E+01,-3.27E+00,1.50E-02,8.54E-04,1.50E-02,3.27E+00
3.80E+04,6.68E+01,3.93E+00,6.69E+01,-3.36E+00,1.49E-02,8.76E-04,1.49E-02,3.36E+00
3.39E+04,6.71E+01,4.06E+00,6.72E+01,-3.46E+00,1.49E-02,9.00E-04,1.49E-02,3.46E+00
3.02E+04,6.73E+01,4.15E+00,6.75E+01,-3.53E+00,1.48E-02,9.12E-04,1.48E-02,3.53E+00
2.69E+04,6.76E+01,4.30E+00,6.77E+01,-3.64E+00,1.47E-02,9.37E-04,1.48E-02,3.64E+00
2.39E+04,6.79E+01,4.48E+00,6.80E+01,-3.77E+00,1.47E-02,9.67E-04,1.47E-02,3.77E+00
2.13E+04,6.81E+01,4.63E+00,6.83E+01,-3.89E+00,1.46E-02,9.94E-04,1.46E-02,3.89E+00
1.90E+04,6.84E+01,4.81E+00,6.86E+01,-4.03E+00,1.46E-02,1.02E-03,1.46E-02,4.03E+00
1.69E+04,6.87E+01,4.97E+00,6.89E+01,-4.13E+00,1.45E-02,1.05E-03,1.45E-02,4.13E+00
1.50E+04,6.91E+01,5.18E+00,6.93E+01,-4.29E+00,1.44E-02,1.08E-03,1.44E-02,4.29E+00
1.34E+04,6.94E+01,5.41E+00,6.96E+01,-4.46E+00,1.43E-02,1.12E-03,1.44E-02,4.46E+00
1.19E+04,6.97E+01,5.59E+00,6.99E+01,-4.59E+00,1.43E-02,1.14E-03,1.43E-02,4.59E+00
1.06E+04,7.00E+01,5.88E+00,7.02E+01,-4.80E+00,1.42E-02,1.19E-03,1.42E-02,4.80E+00
9.48E+03,7.04E+01,6.19E+00,7.06E+01,-5.03E+00,1.41E-02,1.24E-03,1.42E-02,5.03E+00
8.50E+03,7.07E+01,6.45E+00,7.10E+01,-5.21E+00,1.40E-02,1.28E-03,1.41E-02,5.21E+00
7.67E+03,7.11E+01,6.74E+00,7.14E+01,-5.41E+00,1.39E-02,1.32E-03,1.40E-02,5.41E+00
6.83E+03,7.15E+01,7.03E+00,7.18E+01,-5.62E+00,1.39E-02,1.36E-03,1.39E-02,5.62E+00
6.08E+03,7.19E+01,7.39E+00,7.23E+01,-5.86E+00,1.38E-02,1.41E-03,1.38E-02,5.86E+00
5.42E+03,7.24E+01,7.78E+00,7.28E+01,-6.14E+00,1.37E-02,1.47E-03,1.37E-02,6.14E+00
