Freq,Real,Imag,|Z|/Ohm,Phase(Z)/deg,Re(Y)/Ohm-1,Im(Y)/Ohm-1,|Y|/Ohm-1,Phase(Y)/deg
7.00E+06,5.23E+01,6.96E+00,5.27E+01,7.58E+00,1.88E-02,-2.50E-03,1.90E-02,-7.58E+00
6.23E+06,5.27E+01,6.60E+00,5.31E+01,7.13E+00,1.87E-02,-2.34E-03,1.88E-02,-7.13E+00
5.55E+06,5.37E+01,6.03E+00,5.41E+01,6.40E+00,1.84E-02,-2.06E-03,1.85E-02,-6.40E+00
4.94E+06,5.42E+01,5.32E+00,5.45E+01,5.61E+00,1.83E-02,-1.79E-03,1.84E-02,-5.61E+00
4.40E+06,5.45E+01,4.72E+00,5.47E+01,4.95E+00,1.82E-02,-1.58E-03,1.83E-02,-4.95E+00
3.92E+06,5.43E+01,4.03E+00,5.44E+01,4.25E+00,1.83E-02,-1.36E-03,1.84E-02,-4.25E+00
3.49E+06,5.44E+01,3.21E+00,5.45E+01,3.38E+00,1.83E-02,-1.08E-03,1.84E-02,-3.38E+00
3.11E+06,5.46E+01,2.55E+00,5.46E+01,2.67E+00,1.83E-02,-8.53E-04,1.83E-02,-2.67E+00
2.77E+06,5.48E+01,2.07E+00,5.48E+01,2.17E+00,1.82E-02,-6.90E-04,1.82E-02,-2.17E+00
2.47E+06,5.49E+01,1.68E+00,5.49E+01,1.76E+00,1.82E-02,-5.59E-04,1.82E-02,-1.76E+00
2.20E+06,5.50E+01,1.17E+00,5.50E+01,1.22E+00,1.82E-02,-3.87E-04,1.82E-02,-1.22E+00
1.96E+06,5.51E+01,7.78E-01,5.51E+01,8.09E-01,1.82E-02,-2.56E-04,1.82E-02,-8.09E-01
1.74E+06,5.52E+01,4.06E-01,5.52E+01,4.21E-01,1.81E-02,-1.33E-04,1.81E-02,-4.21E-01
1.55E+06,5.54E+01,3.77E-02,5.54E+01,3.90E-02,1.81E-02,-1.23E-05,1.81E-02,-3.90E-02
1.38E+06,5.55E+01,2.64E-01,5.55E+01,-2.73E-01,1.80E-02,8.59E-05,1.80E-02,2.73E-01
1.23E+06,5.57E+01,5.55E-01,5.57E+01,-5.71E-01,1.80E-02,1.79E-04,1.80E-02,5.71E-01
1.10E+06,5.58E+01,7.99E-01,5.58E+01,-8.19E-01,1.79E-02,2.56E-04,1.79E-02,8.19E-01
9.76E+05,5.61E+01,1.14E+00,5.61E+01,-1.16E+00,1.78E-02,3.62E-04,1.78E-02,1.16E+00
8.69E+05,5.63E+01,1.31E+00,5.63E+01,-1.33E+00,1.78E-02,4.14E-04,1.78E-02,1.33E+00
7.74E+05,5.65E+01,1.57E+00,5.65E+01,-1.59E+00,1.77E-02,4.92E-04,1.77E-02,1.59E+00
6.89E+05,5.67E+01,1.76E+00,5.67E+01,-1.78E+00,1.76E-02,5.48E-04,1.76E-02,1.78E+00
6.14E+05,5.69E+01,2.02E+00,5.70E+01,-2.03E+00,1.75E-02,6.23E-04,1.76E-02,2.03E+00
5.47E+05,5.72E+01,2.19E+00,5.72E+01,-2.19E+00,1.75E-02,6.68E-04,1.75E-02,2.19E+00
4.87E+05,5.75E+01,2.31E+00,5.75E+01,-2.31E+00,1.74E-02,7.00E-04,1.74E-02,2.31E+00
4.34E+05,5.77E+01,2.41E+00,5.78E+01,-2.39E+00,1.73E-02,7.23E-04,1.73E-02,2.39E+00
3.86E+05,5.80E+01,2.55E+00,5.80E+01,-2.52E+00,1.72E-02,7.57E-04,1.72E-02,2.52E+00
3.44E+05,5.82E+01,2.65E+00,5.83E+01,-2.61E+00,1.71E-02,7.81E-04,1.72E-02,2.61E+00
3.06E+05,5.85E+01,2.73E+00,5.85E+01,-2.67E+00,1.71E-02,7.96E-04,1.71E-02,2.67E+00
2.73E+05,5.87E+01,2.80E+00,5.88E+01,-2.73E+00,1.70E-02,8.10E-04,1.70E-02,2.73E+00
2.43E+05,5.90E+01,2.78E+00,5.90E+01,-2.70E+00,1.69E-02,7.98E-04,1.69E-02,2.70E+00
2.16E+05,5.92E+01,2.80E+00,5.93E+01,-2.71E+00,1.69E-02,7.97E-04,1.69E-02,2.71E+00
1.93E+05,5.95E+01,2.90E+00,5.95E+01,-2.80E+00,1.68E-02,8.19E-04,1.68E-02,2.80E+00
1.72E+05,5.97E+01,2.92E+00,5.98E+01,-2.80E+00,1.67E-02,8.16E-04,1.67E-02,2.80E+00
1.53E+05,5.99E+01,2.87E+00,6.00E+01,-2.75E+00,1.66E-02,7.98E-04,1.67E-02,2.75E+00
1.36E+05,6.02E+01,2.97E+00,6.03E+01,-2.83E+00,1.66E-02,8.19E-04,1.66E-02,2.83E+00
1.21E+05,6.04E+01,3.00E+00,6.05E+01,-2.84E+00,1.65E-02,8.20E-04,1.65E-02,2.84E+00
1.08E+05,6.06E+01,3.05E+00,6.07E+01,-2.88E+00,1.64E-02,8.28E-04,1.65E-02,2.88E+00
9.61E+04,6.08E+01,3.06E+00,6.09E+01,-2.88E+00,1.64E-02,8.24E-04,1.64E-02,2.88E+00
8.56E+04,6.11E+01,3.09E+00,6.11E+01,-2.89E+00,1.63E-02,8.26E-04,1.64E-02,2.89E+00
7.62E+04,6.13E+01,3.12E+00,6.13E+01,-2.92E+00,1.63E-02,8.30E-04,1.63E-02,2.92E+00
6.79E+04,6.15E+01,3.17E+00,6.16E+01,-2.95E+00,1.62E-02,8.35E-04,1.62E-02,2.95E+00
6.05E+04,6.17E+01,3.30E+00,6.18E+01,-3.06E+00,1.62E-02,8.64E-04,1.62E-02,3.06E+00
5.39E+04,6.19E+01,3.27E+00,6.20E+01,-3.03E+00,1.61E-02,8.52E-04,1.61E-02,3.03E+00
4.80E+04,6.21E+01,3.37E+00,6.21E+01,-3.11E+00,1.61E-02,8.72E-04,1.61E-02,3.11E+00
4.27E+04,6.22E+01,3.40E+00,6.23E+01,-3.13E+00,1.60E-02,8.77E-04,1.60E-02,3.13E+00
3.80E+04,6.25E+01,3.56E+00,6.26E+01,-3.26E+00,1.59E-02,9.07E-04,1.60E-02,3.26E+00
3.39E+04,6.27E+01,3.71E+00,6.28E+01,-3.39E+00,1.59E-02,9.41E-04,1.59E-02,3.39E+00
3.02E+04,6.30E+01,3.75E+00,6.31E+01,-3.41E+00,1.58E-02,9.42E-04,1.58E-02,3.41E+00
2.69E+04,6.32E+01,3.87E+00,6.33E+01,-3.51E+00,1.58E-02,9.67E-04,1.58E-02,3.51E+00
2.39E+04,6.34E+01,4.05E+00,6.35E+01,-3.65E+00,1.57E-02,1.00E-03,1.57E-02,3.65E+00
2.13E+04,6.37E+01,4.16E+00,6.38E+01,-3.74E+00,1.56E-02,1.02E-03,1.57E-02,3.74E+00
1.90E+04,6.39E+01,4.31E+00,6.41E+01,-3.86E+00,1.56E-02,1.05E-03,1.56E-02,3.86E+00
1.69E+04,6.42E+01,4.40E+00,6.43E+01,-3.92E+00,1.55E-02,1.06E-03,1.56E-02,3.92E+00
1.50E+04,6.44E+01,4.64E+00,6.45E+01,-4.13E+00,1.55E-02,1.12E-03,1.55E-02,4.13E+00
1.34E+04,6.47E+01,4.86E+00,6.49E+01,-4.30E+00,1.54E-02,1.16E-03,1.54E-02,4.30E+00
1.19E+04,6.50E+01,5.11E+00,6.52E+01,-4.49E+00,1.53E-02,1.20E-03,1.53E-02,4.49E+00
1.06E+04,6.53E+01,5.30E+00,6.55E+01,-4.64E+00,1.52E-02,1.24E-03,1.53E-02,4.64E+00
9.48E+03,6.56E+01,5.55E+00,6.58E+01,-4.83E+00,1.51E-02,1.28E-03,1.52E-02,4.83E+00
8.50E+03,6.59E+01,5.84E+00,6.62E+01,-5.06E+00,1.50E-02,1.33E-03,1.51E-02,5.06E+00
7.67E+03,6.62E+01,6.06E+00,6.65E+01,-5.23E+00,1.50E-02,1.37E-03,1.50E-02,5.23E+00
6.83E+03,6.66E+01,6.36E+00,6.69E+01,-5.46E+00,1.49E-02,1.42E-03,1.50E-02,5.46E+00
6.08E+03,6.70E+01,6.66E+00,6.73E+01,-5.68E+00,1.48E-02,1.47E-03,1.49E-02,5.68E+00
5.42E+03,6.73E+01,7.02E+00,6.77E+01,-5.96E+00,1.47E-02,1.53E-03,1.48E-02,5.96E+00
4.72E+03,6.78E+01,7.45E+00,6.83E+01,-6.27E+00,1.46E-02,1.60E-03,1.47E-02,6.27E+00
4.21E+03,6.83E+01,7.84E+00,6.87E+01,-6.55E+00,1.45E-02,1.66E-03,1.46E-02,6.55E+00
3.75E+03,6.87E+01,8.31E+00,6.92E+01,-6.90E+00,1.44E-02,1.74E-03,1.45E-02,6.90E+00
3.34E+03,6.92E+01,8.76E+00,6.97E+01,-7.22E+00,1.42E-02,1.80E-03,1.43E-02,7.22E+00
